Label.ID,Label.Name,R,G,B,Flag,FreeSurferLabel,Label.Number,Label.AbbrevName,Label.FullName,Label.Hemisphere,Label.Lobe,Label.Cortex,TissueClass,Label.RegionName
181,right-parahippocampal_1,0,175,255,0,16756480,NA,,,,NA,NA,NA,NA
182,right-parahippocampal_2,0,151,255,0,16750336,NA,,,,NA,NA,NA,NA
183,right-parahippocampal_3,0,255,59,0,3931904,NA,,,,NA,NA,NA,NA
184,right-entorhinal_1,0,255,16,0,1113856,12,R HIP,Right entorhinal,Right,NA,TRUE,2,entorhinal
185,right-temporalpole_1,255,73,0,0,18943,40,R temppole,Right temppole,Right,NA,TRUE,2,temppole
186,right-inferiortemporal_1,0,255,224,0,14745344,44,R aITC,Right vlt,Right,NA,TRUE,2,vlt
187,right-inferiortemporal_2,0,139,255,0,16747264,44,R aITC,Right vlt,Right,NA,TRUE,2,vlt
188,right-inferiortemporal_3,253,0,255,0,16711933,NA,,,,NA,NA,NA,NA
189,right-inferiortemporal_4,51,0,255,0,16711731,NA,,,,NA,NA,NA,NA
190,right-inferiortemporal_5,0,255,194,0,12779264,NA,,,,NA,NA,NA,NA
191,right-inferiortemporal_6,106,255,0,0,65386,NA,,,,NA,NA,NA,NA
192,right-inferiortemporal_7,0,224,255,0,16769024,NA,,,,NA,NA,NA,NA
193,right-middletemporal_1,255,184,0,0,47359,NA,,,,NA,NA,NA,NA
194,right-middletemporal_2,0,255,175,0,11534080,NA,,,,NA,NA,NA,NA
195,right-middletemporal_3,255,61,0,0,15871,NA,,,,NA,NA,NA,NA
196,right-middletemporal_4,0,4,255,0,16712704,NA,,,,NA,NA,NA,NA
